student_id,name,feedback
S001,Seher Varty,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts."
S002,Riya Rana,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts."
S003,Shaan Karnik,"📘 Feedback Report for Shaan Karnik (S003):

In *C101 - Python Basics*, your performance needs attention (latest score 43). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 45). We recommend practicing more on topics: numpy,pandas. You improved by -12 marks (-12.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 51), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 61), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 95). Great job! You improved by +4 marks (+4.0%) over 2 attempts."
S004,Pranay Buch,"📘 Feedback Report for Pranay Buch (S004):

In *C101 - Python Basics*, you have consistently performed well (latest score 87). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 87). Great job! You improved by -3 marks (-3.0%) over 3 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 39). We recommend practicing more on topics: regression,classification. You improved by -17 marks (-17.0%) over 3 attempts.
In *C104 - Database Systems*, you have consistently performed well (latest score 93). Great job! You improved by -1 marks (-1.0%) over 3 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 30). We recommend practicing more on topics: tcp,ip,routing. You improved by -10 marks (-10.0%) over 3 attempts."
S005,Jivin Gokhale,"📘 Feedback Report for Jivin Gokhale (S005):

In *C101 - Python Basics*, your performance needs attention (latest score 28). We recommend practicing more on topics: syntax,loops. You improved by +2 marks (+2.0%) over 2 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 78), but there is room to improve. You improved by +3 marks (+3.0%) over 2 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 83). Great job! You improved by +17 marks (+17.0%) over 2 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 55), but there is room to improve. You improved by +19 marks (+19.0%) over 3 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 54), but there is room to improve. You improved by -13 marks (-13.0%) over 2 attempts."
S006,Farhan Cheema,"📘 Feedback Report for Farhan Cheema (S006):

In *C101 - Python Basics*, you are doing reasonably well (latest score 70), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 43). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 44). We recommend practicing more on topics: regression,classification. You improved by -15 marks (-15.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 30). We recommend practicing more on topics: sql,normalization. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts."
S007,Rania Ravi,"📘 Feedback Report for Rania Ravi (S007):

In *C101 - Python Basics*, you are doing reasonably well (latest score 62), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 79), but there is room to improve. You improved by -6 marks (-6.0%) over 3 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 91). Great job! You improved by -4 marks (-4.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 34). We recommend practicing more on topics: sql,normalization. You improved by -1 marks (-1.0%) over 2 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 64), but there is room to improve. You improved by -3 marks (-3.0%) over 2 attempts."
S008,Dharmajan Gokhale,"📘 Feedback Report for Dharmajan Gokhale (S008):

In *C101 - Python Basics*, you have consistently performed well (latest score 100). Great job! You improved by +23 marks (+23.0%) over 3 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 50), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 22). We recommend practicing more on topics: regression,classification. You improved by -1 marks (-1.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 42). We recommend practicing more on topics: sql,normalization. You improved by +1 marks (+1.0%) over 3 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 33). We recommend practicing more on topics: tcp,ip,routing. You improved by -7 marks (-7.0%) over 2 attempts."
S009,Aaina Ram,"📘 Feedback Report for Aaina Ram (S009):

In *C101 - Python Basics*, you have consistently performed well (latest score 86). Great job! You improved by +18 marks (+18.0%) over 3 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 44). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 69), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 31). We recommend practicing more on topics: sql,normalization. You improved by -19 marks (-19.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 93). Great job! You improved by +0 marks (+0.0%) over 1 attempts."
S010,Shaan Ray,"📘 Feedback Report for Shaan Ray (S010):

In *C101 - Python Basics*, you are doing reasonably well (latest score 73), but there is room to improve. You improved by +3 marks (+3.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 41). We recommend practicing more on topics: regression,classification. You improved by +18 marks (+18.0%) over 3 attempts.
In *C104 - Database Systems*, you have consistently performed well (latest score 90). Great job! You improved by +7 marks (+7.0%) over 2 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 78), but there is room to improve. You improved by +18 marks (+18.0%) over 2 attempts."
S011,Yuvraj  Lala,"📘 Feedback Report for Yuvraj  Lala (S011):

In *C101 - Python Basics*, you are doing reasonably well (latest score 55), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 14). We recommend practicing more on topics: numpy,pandas. You improved by +8 marks (+8.0%) over 3 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 33). We recommend practicing more on topics: regression,classification. You improved by +6 marks (+6.0%) over 2 attempts.
In *C104 - Database Systems*, you have consistently performed well (latest score 84). Great job! You improved by -14 marks (-14.0%) over 3 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 26). We recommend practicing more on topics: tcp,ip,routing. You improved by +0 marks (+0.0%) over 1 attempts."
S012,Kiaan Roy,"📘 Feedback Report for Kiaan Roy (S012):

In *C101 - Python Basics*, you have consistently performed well (latest score 95). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 80). Great job! You improved by -20 marks (-20.0%) over 3 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 82). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 60), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 79), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts."
