student_id,email,name,course_name,best_score,average_score,attempts,feedback,topic_tags,performance,recommended_action
S001,seher.varty@example.com,Seher Varty,Computer Networks,84,82.5,2,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts.","tcp,ip,routing",High,Mentorship Program (Become a Mentor)
S001,seher.varty@example.com,Seher Varty,Data Science,74,74.0,1,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts.","numpy,pandas",Medium,Advanced: Data Science Plus
S001,seher.varty@example.com,Seher Varty,Database Systems,74,71.0,3,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts.","sql,normalization",Medium,Advanced: Database Systems Plus
S001,seher.varty@example.com,Seher Varty,Machine Learning,49,49.0,1,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts.","regression,classification",Poor,Remedial: Machine Learning Refresher
S001,seher.varty@example.com,Seher Varty,Python Basics,56,56.0,1,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts.","syntax,loops",Poor,Remedial: Python Basics Refresher
S002,riya.rana@example.com,Riya Rana,Computer Networks,100,92.33333333333331,3,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts.","tcp,ip,routing",High,Mentorship Program (Become a Mentor)
S002,riya.rana@example.com,Riya Rana,Data Science,47,47.0,1,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts.","numpy,pandas",Poor,Remedial: Data Science Refresher
S002,riya.rana@example.com,Riya Rana,Database Systems,40,38.5,2,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts.","sql,normalization",Poor,Remedial: Database Systems Refresher
S002,riya.rana@example.com,Riya Rana,Machine Learning,85,76.66666666666667,3,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts.","regression,classification",High,Mentorship Program (Become a Mentor)
S002,riya.rana@example.com,Riya Rana,Python Basics,44,44.0,2,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts.","syntax,loops",Poor,Remedial: Python Basics Refresher
