student_id,name,course_name,email,best_score,average_score,attempts,feedback,topic_tags,performance
S001,Seher Varty,Computer Networks,seher.varty@example.com,84,82.5,2,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts.","tcp,ip,routing",High
S001,Seher Varty,Data Science,seher.varty@example.com,74,74.0,1,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts.","numpy,pandas",Medium
S001,Seher Varty,Database Systems,seher.varty@example.com,74,71.0,3,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts.","sql,normalization",Medium
S001,Seher Varty,Machine Learning,seher.varty@example.com,49,49.0,1,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts.","regression,classification",Poor
S001,Seher Varty,Python Basics,seher.varty@example.com,56,56.0,1,"📘 Feedback Report for Seher Varty (S001):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 49). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -5 marks (-5.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 84). Great job! You improved by +3 marks (+3.0%) over 2 attempts.","syntax,loops",Poor
S002,Riya Rana,Computer Networks,riya.rana@example.com,100,92.33333333333333,3,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts.","tcp,ip,routing",High
S002,Riya Rana,Data Science,riya.rana@example.com,47,47.0,1,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts.","numpy,pandas",Poor
S002,Riya Rana,Database Systems,riya.rana@example.com,40,38.5,2,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts.","sql,normalization",Poor
S002,Riya Rana,Machine Learning,riya.rana@example.com,85,76.66666666666667,3,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts.","regression,classification",High
S002,Riya Rana,Python Basics,riya.rana@example.com,44,44.0,2,"📘 Feedback Report for Riya Rana (S002):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 47). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 37). We recommend practicing more on topics: sql,normalization. You improved by -3 marks (-3.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 3 attempts.","syntax,loops",Poor
S003,Shaan Karnik,Computer Networks,shaan.karnik@example.com,95,93.0,2,"📘 Feedback Report for Shaan Karnik (S003):

In *C101 - Python Basics*, your performance needs attention (latest score 43). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 45). We recommend practicing more on topics: numpy,pandas. You improved by -12 marks (-12.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 51), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 61), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 95). Great job! You improved by +4 marks (+4.0%) over 2 attempts.","tcp,ip,routing",High
S003,Shaan Karnik,Data Science,shaan.karnik@example.com,57,51.0,3,"📘 Feedback Report for Shaan Karnik (S003):

In *C101 - Python Basics*, your performance needs attention (latest score 43). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 45). We recommend practicing more on topics: numpy,pandas. You improved by -12 marks (-12.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 51), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 61), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 95). Great job! You improved by +4 marks (+4.0%) over 2 attempts.","numpy,pandas",Poor
S003,Shaan Karnik,Database Systems,shaan.karnik@example.com,61,61.0,1,"📘 Feedback Report for Shaan Karnik (S003):

In *C101 - Python Basics*, your performance needs attention (latest score 43). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 45). We recommend practicing more on topics: numpy,pandas. You improved by -12 marks (-12.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 51), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 61), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 95). Great job! You improved by +4 marks (+4.0%) over 2 attempts.","sql,normalization",Medium
S003,Shaan Karnik,Machine Learning,shaan.karnik@example.com,51,51.0,1,"📘 Feedback Report for Shaan Karnik (S003):

In *C101 - Python Basics*, your performance needs attention (latest score 43). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 45). We recommend practicing more on topics: numpy,pandas. You improved by -12 marks (-12.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 51), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 61), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 95). Great job! You improved by +4 marks (+4.0%) over 2 attempts.","regression,classification",Poor
S003,Shaan Karnik,Python Basics,shaan.karnik@example.com,43,43.0,1,"📘 Feedback Report for Shaan Karnik (S003):

In *C101 - Python Basics*, your performance needs attention (latest score 43). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 45). We recommend practicing more on topics: numpy,pandas. You improved by -12 marks (-12.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 51), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 61), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 95). Great job! You improved by +4 marks (+4.0%) over 2 attempts.","syntax,loops",Poor
S004,Pranay Buch,Computer Networks,pranay.buch@example.com,40,34.666666666666664,3,"📘 Feedback Report for Pranay Buch (S004):

In *C101 - Python Basics*, you have consistently performed well (latest score 87). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 87). Great job! You improved by -3 marks (-3.0%) over 3 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 39). We recommend practicing more on topics: regression,classification. You improved by -17 marks (-17.0%) over 3 attempts.
In *C104 - Database Systems*, you have consistently performed well (latest score 93). Great job! You improved by -1 marks (-1.0%) over 3 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 30). We recommend practicing more on topics: tcp,ip,routing. You improved by -10 marks (-10.0%) over 3 attempts.","tcp,ip,routing",Poor
S004,Pranay Buch,Data Science,pranay.buch@example.com,94,90.33333333333333,3,"📘 Feedback Report for Pranay Buch (S004):

In *C101 - Python Basics*, you have consistently performed well (latest score 87). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 87). Great job! You improved by -3 marks (-3.0%) over 3 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 39). We recommend practicing more on topics: regression,classification. You improved by -17 marks (-17.0%) over 3 attempts.
In *C104 - Database Systems*, you have consistently performed well (latest score 93). Great job! You improved by -1 marks (-1.0%) over 3 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 30). We recommend practicing more on topics: tcp,ip,routing. You improved by -10 marks (-10.0%) over 3 attempts.","numpy,pandas",High
S004,Pranay Buch,Database Systems,pranay.buch@example.com,94,91.0,3,"📘 Feedback Report for Pranay Buch (S004):

In *C101 - Python Basics*, you have consistently performed well (latest score 87). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 87). Great job! You improved by -3 marks (-3.0%) over 3 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 39). We recommend practicing more on topics: regression,classification. You improved by -17 marks (-17.0%) over 3 attempts.
In *C104 - Database Systems*, you have consistently performed well (latest score 93). Great job! You improved by -1 marks (-1.0%) over 3 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 30). We recommend practicing more on topics: tcp,ip,routing. You improved by -10 marks (-10.0%) over 3 attempts.","sql,normalization",High
S004,Pranay Buch,Machine Learning,pranay.buch@example.com,56,39.666666666666664,3,"📘 Feedback Report for Pranay Buch (S004):

In *C101 - Python Basics*, you have consistently performed well (latest score 87). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 87). Great job! You improved by -3 marks (-3.0%) over 3 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 39). We recommend practicing more on topics: regression,classification. You improved by -17 marks (-17.0%) over 3 attempts.
In *C104 - Database Systems*, you have consistently performed well (latest score 93). Great job! You improved by -1 marks (-1.0%) over 3 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 30). We recommend practicing more on topics: tcp,ip,routing. You improved by -10 marks (-10.0%) over 3 attempts.","regression,classification",Poor
S004,Pranay Buch,Python Basics,pranay.buch@example.com,87,87.0,1,"📘 Feedback Report for Pranay Buch (S004):

In *C101 - Python Basics*, you have consistently performed well (latest score 87). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 87). Great job! You improved by -3 marks (-3.0%) over 3 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 39). We recommend practicing more on topics: regression,classification. You improved by -17 marks (-17.0%) over 3 attempts.
In *C104 - Database Systems*, you have consistently performed well (latest score 93). Great job! You improved by -1 marks (-1.0%) over 3 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 30). We recommend practicing more on topics: tcp,ip,routing. You improved by -10 marks (-10.0%) over 3 attempts.","syntax,loops",High
S005,Jivin Gokhale,Computer Networks,jivin.gokhale@example.com,67,60.5,2,"📘 Feedback Report for Jivin Gokhale (S005):

In *C101 - Python Basics*, your performance needs attention (latest score 28). We recommend practicing more on topics: syntax,loops. You improved by +2 marks (+2.0%) over 2 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 78), but there is room to improve. You improved by +3 marks (+3.0%) over 2 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 83). Great job! You improved by +17 marks (+17.0%) over 2 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 55), but there is room to improve. You improved by +19 marks (+19.0%) over 3 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 54), but there is room to improve. You improved by -13 marks (-13.0%) over 2 attempts.","tcp,ip,routing",Medium
S005,Jivin Gokhale,Data Science,jivin.gokhale@example.com,78,76.5,2,"📘 Feedback Report for Jivin Gokhale (S005):

In *C101 - Python Basics*, your performance needs attention (latest score 28). We recommend practicing more on topics: syntax,loops. You improved by +2 marks (+2.0%) over 2 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 78), but there is room to improve. You improved by +3 marks (+3.0%) over 2 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 83). Great job! You improved by +17 marks (+17.0%) over 2 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 55), but there is room to improve. You improved by +19 marks (+19.0%) over 3 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 54), but there is room to improve. You improved by -13 marks (-13.0%) over 2 attempts.","numpy,pandas",Medium
S005,Jivin Gokhale,Database Systems,jivin.gokhale@example.com,55,46.666666666666664,3,"📘 Feedback Report for Jivin Gokhale (S005):

In *C101 - Python Basics*, your performance needs attention (latest score 28). We recommend practicing more on topics: syntax,loops. You improved by +2 marks (+2.0%) over 2 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 78), but there is room to improve. You improved by +3 marks (+3.0%) over 2 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 83). Great job! You improved by +17 marks (+17.0%) over 2 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 55), but there is room to improve. You improved by +19 marks (+19.0%) over 3 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 54), but there is room to improve. You improved by -13 marks (-13.0%) over 2 attempts.","sql,normalization",Poor
